iter	Passed	Remaining
427	1762	2354
428	1765	2349
429	1768	2343
430	1771	2338
431	1774	2333
432	1777	2327
433	1780	2322
434	1783	2317
435	1787	2312
436	1793	2310
437	1797	2306
438	1802	2303
439	1805	2297
440	1808	2292
441	1811	2286
442	1814	2281
443	1817	2275
444	1820	2270
445	1832	2275
446	1838	2274
447	1843	2270
448	1846	2266
449	1849	2260
450	1853	2255
451	1856	2250
452	1859	2245
453	1862	2239
454	1865	2234
455	1869	2229
456	1872	2224
457	1875	2219
458	1878	2214
459	1883	2210
460	1887	2206
461	1891	2202
462	1894	2196
463	1897	2191
464	1900	2186
465	1903	2181
466	1906	2176
467	1910	2171
468	1913	2166
469	1916	2160
470	1919	2156
471	1926	2154
472	1930	2150
473	1934	2146
474	1937	2141
475	1941	2137
476	1944	2131
477	1947	2127
478	1950	2121
479	1954	2117
480	1957	2112
481	1961	2107
482	1963	2101
483	1967	2097
484	1973	2095
485	1978	2092
486	1981	2087
487	1993	2091
488	1998	2088
489	2001	2083
490	2005	2079
491	2009	2074
492	2012	2069
493	2016	2065
494	2022	2063
495	2026	2059
496	2029	2053
497	2033	2049
498	2036	2044
499	2039	2039
500	2042	2034
501	2045	2029
502	2048	2024
503	2052	2019
504	2056	2015
505	2060	2011
506	2064	2007
507	2067	2002
508	2071	1998
509	2076	1994
510	2079	1990
511	2083	1985
512	2087	1981
513	2090	1976
514	2093	1971
515	2096	1966
516	2099	1961
517	2103	1957
518	2108	1953
519	2111	1949
520	2115	1944
521	2118	1939
522	2121	1934
523	2124	1930
524	2127	1924
525	2130	1920
526	2134	1915
527	2137	1910
528	2140	1906
529	2145	1902
530	2151	1900
531	2160	1900
532	2164	1896
533	2168	1892
534	2171	1887
535	2175	1883
536	2179	1878
537	2182	1874
538	2185	1869
539	2188	1864
540	2192	1860
541	2198	1857
542	2202	1853
543	2205	1848
544	2208	1843
545	2211	1838
546	2214	1833
547	2217	1828
548	2220	1823
549	2223	1819
550	2227	1815
551	2232	1812
552	2237	1808
553	2240	1804
554	2243	1798
555	2247	1794
556	2250	1789
557	2253	1784
558	2256	1780
559	2260	1775
560	2262	1770
561	2266	1766
562	2271	1762
563	2275	1758
564	2281	1756
565	2288	1754
566	2292	1750
567	2296	1746
568	2300	1742
569	2303	1737
570	2306	1733
571	2309	1728
572	2314	1724
573	2322	1723
574	2326	1719
575	2329	1714
576	2332	1710
577	2336	1705
578	2339	1700
579	2342	1696
580	2345	1691
581	2348	1686
582	2351	1681
583	2354	1677
584	2359	1673
585	2366	1672
586	2370	1667
587	2373	1663
588	2376	1658
589	2379	1653
590	2382	1648
591	2385	1643
592	2388	1639
593	2392	1635
594	2397	1631
595	2401	1627
596	2407	1625
597	2412	1622
598	2416	1617
599	2418	1612
600	2422	1608
601	2425	1603
602	2428	1598
603	2431	1594
604	2434	1589
605	2437	1584
606	2440	1580
607	2447	1577
608	2452	1574
609	2457	1571
610	2462	1567
611	2466	1564
