iter	MultiClass
0	1.51318078
1	1.439087979
2	1.400265832
3	1.34905492
4	1.314144853
5	1.250036971
6	1.19598027
7	1.160586624
8	1.132375089
9	1.093798698
10	1.052296104
11	1.016206593
12	0.9872505923
13	0.9668372238
14	0.9440537491
15	0.9179762045
16	0.8938709201
17	0.8680113251
18	0.8483428277
19	0.8305496497
20	0.8131070269
21	0.7928653525
22	0.7721209957
23	0.7544964459
24	0.7361703893
25	0.725769246
26	0.7075788342
27	0.6940936014
28	0.6822453484
29	0.668320695
30	0.6562623916
31	0.6440009104
32	0.6356331625
33	0.6245978586
34	0.6169416336
35	0.6064274934
36	0.5965422841
37	0.5849555738
38	0.5754557398
39	0.5667431964
40	0.5577291348
41	0.550378264
42	0.5421223082
43	0.5349419439
44	0.5265192793
45	0.5205823434
46	0.5139601053
47	0.504755495
48	0.4991380574
49	0.4931185928
50	0.4867719385
51	0.4800484498
52	0.4734604847
53	0.4661481597
54	0.4579961543
55	0.4524796932
56	0.4457775439
57	0.439862434
58	0.4356728259
59	0.4303215385
60	0.4247541651
61	0.4198041698
62	0.4162264858
63	0.4102269254
64	0.4049287738
65	0.399906649
66	0.3948362065
67	0.3900273303
68	0.3850982496
69	0.3791713322
70	0.3742615132
71	0.3707316502
72	0.3659387131
73	0.361692882
74	0.3574146916
75	0.352937002
76	0.3486501842
77	0.3450837681
78	0.3407925017
79	0.336315597
80	0.3319485083
81	0.326976775
82	0.3225078612
83	0.318731456
84	0.3147802003
85	0.3114584783
86	0.3086138942
87	0.3052735531
88	0.301928243
89	0.2986658783
90	0.2948609615
91	0.2910684834
92	0.2874272268
93	0.2846572461
94	0.2799699778
95	0.2767074841
96	0.2732420676
97	0.2694519804
98	0.2654390757
99	0.2632183037
100	0.2603888783
101	0.2575997636
102	0.2545237365
103	0.2512458748
104	0.2483811645
105	0.2454699827
106	0.2427265157
107	0.240033272
108	0.2371120074
109	0.2341327126
110	0.2317718723
111	0.2290012125
112	0.2263986487
113	0.2244854819
114	0.2219167698
115	0.2192828947
116	0.2158321451
117	0.2138793589
118	0.2110566788
119	0.2083198776
120	0.2056824456
121	0.2037511389
122	0.2010549324
123	0.198862507
124	0.1965009417
125	0.1939235864
126	0.1918990283
127	0.1892901443
128	0.1875226036
129	0.1855761023
130	0.1838606548
131	0.1823026261
132	0.1809672343
133	0.1791383951
134	0.1779306025
135	0.176002945
136	0.1742927505
137	0.1725946608
138	0.171615666
139	0.1701309021
140	0.168467388
141	0.1668634468
142	0.1650573097
143	0.1629347277
144	0.161348593
145	0.1600595831
146	0.1585604062
147	0.157441825
148	0.1559561457
149	0.1549968923
150	0.1532932185
151	0.151958284
152	0.1507714204
153	0.1494633073
154	0.1479814241
155	0.1462444644
156	0.1453527093
157	0.1440084579
158	0.1426821585
159	0.1416039572
160	0.1404418735
161	0.1395079141
162	0.1381819982
163	0.1370432157
164	0.1359977639
165	0.1349977923
166	0.1335389736
167	0.1323275634
168	0.1314988367
169	0.1305278421
170	0.1299623925
171	0.1285193863
172	0.1279625833
173	0.1270672126
174	0.126626381
175	0.1260760643
176	0.1253242074
177	0.124386935
178	0.1236834184
179	0.1226019987
180	0.1215756932
181	0.120598455
182	0.1199895411
183	0.1190327814
184	0.1182968916
185	0.1171603015
186	0.1162009463
187	0.1151798558
188	0.1142639435
189	0.1136715602
190	0.1129828197
191	0.1119601105
192	0.1112951234
193	0.1105061465
194	0.1096680738
195	0.1085552744
196	0.1076000869
197	0.1065720038
198	0.1058355025
199	0.1053145643
200	0.1044826399
201	0.1036487736
202	0.1030502045
203	0.1019675413
204	0.1014562039
205	0.1008183594
206	0.1000924137
207	0.09943900474
208	0.09902971655
209	0.09820613762
210	0.09769040903
211	0.09681893133
212	0.09610880382
213	0.09565985586
214	0.09499659037
215	0.09441427554
216	0.09404222839
217	0.09346542727
218	0.09312584973
219	0.09262344125
220	0.09211435349
221	0.09165353135
222	0.0911405391
223	0.09052308457
224	0.09003917363
225	0.08944359996
226	0.08881858908
227	0.08812343561
228	0.08752747016
229	0.08711862187
230	0.08689235336
231	0.0864030684
232	0.08581009908
233	0.08526194426
234	0.08497373494
235	0.08432799997
236	0.08390102194
237	0.08336595195
238	0.08294096651
239	0.08245037194
240	0.08200667093
241	0.08166442318
242	0.08129020136
243	0.08088996278
244	0.08047253665
245	0.08030762623
246	0.07987553016
247	0.07939354038
248	0.07886637432
249	0.07839292672
250	0.07792607623
251	0.07754634403
252	0.07716512584
253	0.07666413941
254	0.07626758189
255	0.07584809395
256	0.07543459942
257	0.07513148462
258	0.07474451038
259	0.07440250902
260	0.07404927455
261	0.07371336928
262	0.07337395323
263	0.07295925847
264	0.0724952019
265	0.07227207535
266	0.07171090466
267	0.07124629334
268	0.07088099017
269	0.07041676686
270	0.0700144605
271	0.06963167108
272	0.06919462472
273	0.068807836
274	0.06845529597
275	0.0681612871
276	0.06771542353
277	0.06749079126
278	0.06712043226
279	0.0667577586
280	0.06655348481
281	0.06607142356
282	0.06577241497
283	0.06555534878
284	0.06531104763
285	0.06498840231
286	0.0648455328
287	0.06439598755
288	0.06404197704
289	0.06376169384
290	0.06336233969
291	0.06302507166
292	0.06268867288
293	0.06241004773
294	0.06209969903
295	0.06177463057
296	0.06145728629
297	0.06124264121
298	0.0610110607
299	0.06063532987
300	0.06046271047
301	0.06033434731
302	0.0600347225
303	0.05980314124
304	0.05970916889
305	0.05944574323
306	0.05913901308
307	0.05874728659
308	0.05850648077
309	0.05818850157
310	0.05792177004
311	0.05771378335
312	0.05732114054
313	0.05709195406
314	0.05697720707
315	0.0567746316
316	0.05650145068
317	0.05628976298
318	0.05613017224
319	0.05596342684
320	0.05576619294
321	0.05547475276
322	0.05529154158
323	0.05501574616
324	0.05474282731
325	0.05457359346
326	0.05432533591
327	0.05409962637
328	0.05392221481
329	0.05371198
330	0.05349086952
331	0.05328481336
332	0.05310196192
333	0.05287727312
334	0.05267623726
335	0.05244805146
336	0.05226450568
337	0.05204025835
338	0.05182702266
339	0.05162712825
340	0.05143920652
341	0.0512740913
342	0.05103304398
343	0.05081129738
344	0.05069054118
345	0.05054720659
346	0.05032213555
347	0.05015170589
348	0.05000049028
349	0.04978208917
350	0.04962510822
351	0.04957349802
352	0.04931889317
353	0.04906948242
354	0.04893443845
355	0.04879414337
356	0.04865939947
357	0.04854013168
358	0.04835215156
359	0.04827172367
360	0.04808814555
361	0.04792418385
362	0.04772377593
363	0.0474262187
364	0.04725029475
365	0.04706243674
366	0.04689839578
367	0.04666295965
368	0.04656346402
369	0.04639256936
370	0.04624481001
371	0.04601055249
372	0.04590406273
373	0.04573085241
374	0.04557658496
375	0.04538351541
376	0.04530671749
377	0.04512044633
378	0.04496574452
379	0.04484747389
380	0.0447672432
381	0.04466912509
382	0.04448339912
383	0.04427632953
384	0.0441241344
385	0.04404933748
386	0.0438886127
387	0.0437843008
388	0.04367347322
389	0.04352728894
390	0.04336525134
391	0.04322685928
392	0.04313067183
393	0.04290939747
394	0.04275246748
395	0.04267546436
396	0.0425612879
397	0.04245849059
398	0.04231266804
399	0.04216780172
400	0.0420371402
401	0.04197615605
402	0.04189815368
403	0.04175047194
404	0.04161291612
405	0.0414694274
406	0.04128606043
407	0.041157952
408	0.04107552964
409	0.04091747639
410	0.04076343356
411	0.04062342317
412	0.04045136043
413	0.04035790934
414	0.04023899727
415	0.04007496064
416	0.04000260667
417	0.03988541328
418	0.0397800481
419	0.03967869615
420	0.03956263234
421	0.03940728843
422	0.03929331492
423	0.03922121965
424	0.03904580422
425	0.03892096683
426	0.03875338449
427	0.03860726597
428	0.03854104101
429	0.03844012448
430	0.03837528188
431	0.03827784451
432	0.03815731025
433	0.03804751477
434	0.0379577586
435	0.03783684111
436	0.03772404479
437	0.03760615674
438	0.03747284968
439	0.03731904826
440	0.03721874871
441	0.03711712972
442	0.03698526287
443	0.03689331149
444	0.03684393405
445	0.036727102
446	0.03661765856
447	0.03651985635
448	0.03644232357
449	0.03634642231
450	0.03627635526
451	0.03610726365
452	0.03600213294
453	0.03591737183
454	0.03576768307
455	0.03569503778
456	0.03559715594
457	0.03550645998
458	0.0353975935
459	0.03529320124
460	0.03524200509
461	0.03515556832
462	0.03504274875
463	0.03490912121
464	0.03483794598
465	0.03471108462
466	0.03462677478
467	0.0345474136
468	0.03444580679
469	0.03435379347
470	0.03425282174
471	0.03410709404
472	0.0340385258
473	0.03394227431
474	0.03384442783
475	0.03373773197
476	0.0336221793
477	0.03358044799
478	0.03345326929
479	0.0333037549
480	0.03320777684
481	0.03309786083
482	0.03300559748
483	0.03296359427
484	0.03282979227
485	0.03274927417
486	0.03267308997
487	0.03258552919
488	0.03247406474
489	0.03237622982
490	0.03227063854
491	0.03218472048
492	0.03211371972
493	0.0320346191
494	0.03196405761
495	0.03187673382
496	0.03179005654
497	0.03171091284
498	0.03162686416
499	0.03153653656
500	0.03145599265
501	0.0313565023
502	0.03130205042
503	0.03120508339
504	0.0310927577
505	0.03097440011
506	0.0309073833
507	0.03085142276
508	0.03076903574
509	0.03067866657
510	0.03057081786
511	0.03046602025
512	0.0304190553
513	0.0303571607
514	0.03026883189
515	0.03017129388
516	0.03011577768
517	0.03006541042
518	0.0299676973
519	0.02991234157
520	0.02984246581
521	0.02971861972
522	0.02963759205
523	0.02955623708
524	0.02951277095
525	0.02942809645
526	0.02935812773
527	0.02931391178
528	0.02924750036
529	0.02918660307
530	0.02909916047
531	0.02906088814
532	0.02899863839
533	0.02893924837
534	0.0288755863
535	0.02881902467
536	0.02874041789
537	0.02867797583
538	0.02864347479
539	0.02860371033
540	0.02856525852
541	0.02849224781
542	0.02841533604
543	0.02834732113
544	0.0282695882
545	0.02819267313
546	0.02809025727
547	0.02802436394
548	0.02793694295
549	0.02790270886
550	0.02781510406
551	0.02777710849
552	0.02769811993
553	0.02763986267
554	0.02756109767
555	0.0274769447
556	0.02743635627
557	0.02738516431
558	0.02727320966
559	0.02720089366
560	0.02712876402
561	0.02708329725
562	0.0270352072
563	0.02697263021
564	0.02694058286
565	0.0268735443
566	0.02680670903
567	0.02671574734
568	0.02664804334
569	0.02659091989
570	0.02653273292
571	0.02648030399
572	0.02643489857
573	0.0263760257
574	0.02634371791
575	0.02627804813
576	0.02621348426
577	0.02616157794
578	0.02611198957
579	0.02603060616
580	0.02595959794
581	0.02591848323
582	0.0258680312
583	0.02583187419
584	0.02578663688
585	0.02572364685
586	0.02564749958
587	0.02559631476
588	0.02553399784
589	0.02543536834
590	0.02538493103
591	0.02533443145
592	0.02525508552
593	0.0252178822
594	0.02513878071
595	0.02506516203
596	0.02499353061
597	0.02495410274
598	0.02490856723
